MAG,ANNEE,MOIS,CA
7919,2021,1,173313.050
4252,2021,1,179114.840
6482,2021,1,127066.210
8669,2021,1,139629.120
5498,2021,1,632767.650
6303,2021,1,301522.770
5015,2021,1,488157.910
6360,2021,1,292156.450
5244,2021,1,154188.760
7126,2021,1,344563.690
6875,2021,1,166210.280
5370,2021,1,623040.890
4955,2021,1,191605.520
7731,2021,1,164557.570
4758,2021,1,274606.450
7347,2021,1,186460.630
5035,2021,1,153014.400
5173,2021,1,205876.170
5865,2021,1,260741.790
4978,2021,1,203915.970
5651,2021,1,39052.700
8283,2021,1,181930.680
5307,2021,1,260803.780
5299,2021,1,238775.310
7864,2021,1,76086.690
5957,2021,1,182775.470
6748,2021,1,217907.780
7128,2021,1,483907.280
5871,2021,1,521461.460
6750,2021,1,366280.630
8759,2021,1,432694.490
5017,2021,1,524224.290
4739,2021,1,98257.948
4198,2021,1,17440.290
4096,2021,1,103314.370
6210,2021,1,174694.440
5486,2021,1,209865.900
7827,2021,1,219514.440
5229,2021,1,578497.820
5697,2021,1,178972.660
8801,2021,1,123014.150
8176,2021,1,226824.680
7666,2021,1,104571.820
4957,2021,1,104300.880
6258,2021,1,453158.730
8295,2021,1,278789.500
4271,2021,1,88925.680
7132,2021,1,113820.510
8688,2021,1,125940.740
4321,2021,1,141493.900
7634,2021,1,149856.440
5472,2021,1,271299.360
8242,2021,1,463361.970
5243,2021,1,220731.420
6353,2021,1,292176.990
5329,2021,1,235285.970
5010,2021,1,195545.260
8102,2021,1,116204.530
4425,2021,1,96025.490
5980,2021,1,256740.300
4742,2021,1,100271.730
8045,2021,1,178863.450
6611,2021,1,51405.090
5498,2021,2,575635.060
5972,2021,1,493399.560
7099,2021,1,315049.500
7644,2021,1,165649.440
5345,2021,1,176017.840
5056,2021,1,91419.060
5011,2021,1,324182.050
6250,2021,1,203579.180
5092,2021,1,352117.960
6430,2021,1,234121.850
6038,2021,1,129882.860
5953,2021,1,463949.020
6268,2021,1,188925.310
5961,2021,1,308092.340
6406,2021,1,102423.990
5874,2021,1,333257.690
5939,2021,1,419403.420
8232,2021,1,229048.580
7952,2021,1,269383.130
6955,2021,1,287956.000
5696,2021,1,510487.250
4998,2021,1,105086.370
6398,2021,1,168433.360
4834,2021,1,137206.610
4107,2021,1,262870.645
4223,2021,1,216586.260
6896,2021,1,246158.610
5002,2021,1,81879.160
8054,2021,1,645705.380
5947,2021,1,286980.780
6259,2021,1,220175.110
7990,2021,1,297796.740
8550,2021,1,107189.070
6872,2021,1,247947.670
5927,2021,1,248878.450
4253,2021,1,42290.840
7699,2021,1,298096.220
5492,2021,1,303788.810
4741,2021,1,207818.530
4249,2021,1,428862.220
6408,2021,1,47279.600
7718,2021,1,336013.870
4322,2021,1,299601.410
7658,2021,1,66355.830
6897,2021,1,175052.440
5519,2021,1,124567.170
4127,2021,1,195923.980
6233,2021,1,131476.140
5419,2021,1,120720.040
5880,2021,1,143824.020
6846,2021,1,229332.900
4114,2021,1,165536.760
6668,2021,1,80061.800
5267,2021,1,294545.580
4211,2021,1,169230.150
6228,2021,1,241721.400
6600,2021,1,136078.650
4248,2021,1,278266.320
7965,2021,1,133311.040
4169,2021,1,178479.950
4139,2021,1,295513.090
6863,2021,1,137007.390
5208,2021,1,143819.680
